City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,Cherskiy,68.75,161.3,-35.07,100,92,4.18,RU,2023-02-04 11:52:22
263,Brockville,44.5834,-75.6826,-22.88,97,12,3.62,CA,2023-02-04 11:52:23
264,Pangody,65.85,74.4859,2.1,98,85,7.49,RU,2023-02-04 11:52:24
265,Oksfjord,70.2396,22.3479,37.58,93,100,13.65,NO,2023-02-04 11:52:25
266,Hella,67.2,14.4333,30.34,68,0,17.27,NO,2023-02-04 11:52:27
267,Nemuro,43.3236,145.575,23.86,65,100,5.48,JP,2023-02-04 11:52:28
268,Coihueco,-36.6167,-71.8333,71.96,46,0,3.76,CL,2023-02-04 11:52:29
269,Bage,-31.3314,-54.1069,65.98,94,100,9.22,BR,2023-02-04 11:52:30
270,Nikolskoye,59.7035,30.7861,30.09,91,100,9.89,RU,2023-02-04 11:52:31
271,Cedartown,34.0537,-85.255,28.38,83,0,3.24,US,2023-02-04 11:52:32
272,Micheweni,-4.9667,39.8333,85.03,63,45,13.38,TZ,2023-02-04 11:52:33
273,Killarney,52.05,-9.5167,53.65,71,75,12.66,IE,2023-02-04 11:51:22
274,Bereda,43.2686,-7.5406,53.64,47,0,2.15,ES,2023-02-04 11:52:35
275,Lerwick,60.1545,-1.1494,48.2,84,100,26.13,GB,2023-02-04 11:52:37
276,Ulladulla,-35.35,150.4667,65.16,55,0,8.86,AU,2023-02-04 11:52:38
277,Erenhot,43.6475,111.9767,23.74,32,5,9.15,CN,2023-02-04 11:52:39
278,Arraial Do Cabo,-22.9661,-42.0278,82.36,83,0,5.75,BR,2023-02-04 11:52:40
279,Uige,-7.6087,15.0613,88.29,43,68,3.09,AO,2023-02-04 11:53:41
280,Golden,39.7555,-105.2211,39.9,43,100,4.0,US,2023-02-04 11:53:43
281,Esperance,-33.8667,121.9,74.05,53,0,21.83,AU,2023-02-04 11:53:45
282,Pacific Grove,36.6177,-121.9166,50.67,93,75,4.0,US,2023-02-04 11:53:46
283,Krutinka,56.0055,71.5113,11.66,99,100,2.19,RU,2023-02-04 11:53:48
284,Honnali,14.25,75.6667,88.23,30,0,9.57,IN,2023-02-04 11:53:49
285,Jalaun,26.1451,79.3366,71.04,38,0,6.51,IN,2023-02-04 11:53:49
286,Shebunino,46.4339,141.8603,15.98,87,100,6.67,RU,2023-02-04 11:53:51
287,Saldanha,-33.0117,17.9442,75.25,61,4,9.66,ZA,2023-02-04 11:53:52
288,Kitimat,54.0524,-128.6534,35.98,100,100,2.95,CA,2023-02-04 11:53:53
289,Kununurra,-15.7667,128.7333,80.58,69,100,12.66,AU,2023-02-04 11:53:54
290,Yerbogachen,61.2767,108.0108,-8.34,100,89,2.37,RU,2023-02-04 11:53:55
291,Hambantota,6.1241,81.1185,89.94,62,75,11.5,LK,2023-02-04 11:53:56
292,Yokadouma,3.5167,15.05,101.32,15,54,6.04,CM,2023-02-04 11:53:57
